node1,node2,total_distance_meters,total_elevation_gain_meters,total_elevation_loss_meters,start_elevation_meters,end_elevation_meters,average_gradient
1,254,27.39,0.00,0.19,11.82,11.63,-0.00693684
2,4,124.01,0.00,0.40,12.29,11.89,-0.00322555
2,253,44.43,0.00,0.03,11.80,11.77,-0.00067522
2,3,46.13,0.00,0.33,12.29,11.96,-0.00715370
3,5,115.62,0.00,0.35,11.96,11.61,-0.00302716
3,9,45.32,0.00,0.39,11.96,11.57,-0.00860547
4,182,46.86,0.00,0.11,11.89,11.78,-0.00234742
4,5,53.48,0.00,0.28,11.89,11.61,-0.00523560
5,8,46.99,0.00,0.79,11.61,10.82,-0.01681209
6,182,7.20,0.02,0.00,11.76,11.78,0.00277778
6,7,83.26,0.00,1.20,11.76,10.56,-0.01441268
7,183,7.64,0.00,0.02,10.56,10.54,-0.00261780
7,184,7.30,0.00,0.13,10.56,10.43,-0.01780822
8,9,112.03,0.75,0.00,10.82,11.57,0.00669464
8,186,9.45,0.00,0.03,10.82,10.79,-0.00317460
8,183,45.39,0.00,0.28,10.82,10.54,-0.00616876
9,187,9.00,0.01,0.00,11.57,11.58,0.00111111
9,10,50.86,0.02,0.00,11.57,11.59,0.00039324
10,56,24.55,0.00,0.02,11.59,11.57,-0.00081466
10,188,9.29,0.00,0.01,11.59,11.58,-0.00107643
11,188,64.47,0.00,0.74,12.32,11.58,-0.01147821
11,12,62.43,0.01,0.00,12.32,12.33,0.00016018
12,252,26.09,0.00,0.15,11.72,11.57,-0.00574933
12,55,25.46,0.00,0.60,12.33,11.73,-0.02356638
12,13,32.32,0.20,0.00,12.33,12.53,0.00618812
13,14,84.35,0.11,0.36,12.53,12.28,-0.00296384
13,19,46.13,0.47,0.00,12.53,13.00,0.01018860
13,16,113.09,0.00,0.32,12.53,12.21,-0.00282960
14,187,59.92,0.00,0.70,12.28,11.58,-0.01168224
14,15,102.56,0.00,1.39,12.28,10.89,-0.01355304
15,186,60.33,0.00,0.10,10.89,10.79,-0.00165755
15,16,69.18,1.32,0.00,10.89,12.21,0.01908066
16,189,43.92,0.00,0.17,12.21,12.04,-0.00387067
16,191,43.32,0.00,0.11,12.21,12.10,-0.00253924
17,190,6.86,0.18,0.00,11.81,11.99,0.02623907
17,189,8.54,0.23,0.00,11.81,12.04,0.02693208
17,184,129.62,0.00,1.38,11.81,10.43,-0.01064651
18,190,42.55,0.00,0.60,12.59,11.99,-0.01410106
18,192,7.20,0.00,0.00,12.59,12.59,0.00000000
18,22,132.12,1.21,0.00,12.59,13.80,0.00915834
18,23,79.78,0.91,0.00,12.59,13.50,0.01140637
19,20,96.17,0.00,0.07,13.00,12.93,-0.00072788
19,192,149.60,0.00,0.41,13.00,12.59,-0.00274064
20,21,62.59,0.00,0.31,12.93,12.62,-0.00495287
20,194,138.17,0.74,0.00,12.93,13.67,0.00535572
21,26,62.09,0.06,0.00,12.62,12.68,0.00096634
21,252,127.40,0.14,0.00,11.60,11.74,0.00109890
22,24,51.16,0.23,0.00,13.80,14.03,0.00449570
22,194,8.72,0.00,0.13,13.80,13.67,-0.01490826
22,25,50.30,0.00,0.54,13.80,13.26,-0.01073559
23,24,110.39,0.53,0.00,13.50,14.03,0.00480116
24,57,31.11,0.00,0.06,14.03,13.97,-0.00192864
25,196,7.94,0.00,0.06,13.26,13.20,-0.00755668
25,195,8.10,0.00,0.11,13.26,13.15,-0.01358025
25,60,81.47,0.20,0.00,13.26,13.46,0.00245489
26,195,192.77,0.47,0.00,12.68,13.15,0.00243814
26,198,9.64,0.00,0.04,12.68,12.64,-0.00414938
26,199,9.76,0.04,0.00,12.68,12.72,0.00409836
27,29,34.43,0.22,0.00,12.78,13.00,0.00638978
27,28,79.26,0.17,0.00,12.78,12.95,0.00214484
27,199,82.04,0.00,0.06,12.78,12.72,-0.00073135
28,31,26.19,0.00,0.42,12.95,12.53,-0.01603666
29,31,80.09,0.00,0.47,13.00,12.53,-0.00586840
29,30,56.92,0.13,0.00,13.00,13.13,0.00228391
30,38,37.12,0.00,0.35,13.13,12.78,-0.00942888
30,39,121.33,0.43,0.00,13.13,13.56,0.00354405
30,37,59.78,0.00,0.00,13.13,13.13,0.00000000
31,36,104.45,0.12,0.06,12.53,12.59,0.00057444
31,37,108.53,0.90,0.30,12.53,13.13,0.00552843
31,32,68.28,0.63,0.00,12.53,13.16,0.00922671
32,33,42.96,0.00,0.00,13.16,13.16,0.00000000
32,35,98.00,0.00,1.64,13.16,11.52,-0.01673469
32,197,46.26,0.00,0.10,13.16,13.06,-0.00216169
32,196,46.58,0.04,0.00,13.16,13.20,0.00085874
33,105,42.68,0.00,0.10,13.16,13.06,-0.00234302
33,34,101.14,0.00,1.98,13.16,11.18,-0.01957682
34,35,44.70,0.34,0.00,11.18,11.52,0.00760626
34,106,42.16,0.00,0.15,11.18,11.03,-0.00355787
34,48,125.68,0.00,0.59,11.18,10.59,-0.00469446
35,47,126.57,0.00,0.80,11.52,10.72,-0.00632061
35,36,47.16,1.07,0.00,11.52,12.59,0.02268872
36,37,36.16,0.54,0.00,12.59,13.13,0.01493363
36,46,124.58,0.00,1.01,12.59,11.58,-0.00810724
37,43,125.03,0.00,0.62,13.13,12.51,-0.00495881
38,199,137.03,0.00,0.06,12.78,12.72,-0.00043786
38,40,118.77,0.27,0.00,12.78,13.05,0.00227330
39,41,21.64,0.33,0.49,13.56,13.40,-0.00739372
39,40,35.84,0.00,0.51,13.56,13.05,-0.01422991
40,42,59.42,0.12,0.00,13.05,13.17,0.00201952
41,43,30.28,0.00,0.68,13.19,12.51,-0.02245707
41,42,70.80,0.06,0.08,13.19,13.17,-0.00028249
42,45,43.69,0.00,0.38,13.17,12.79,-0.00869764
42,54,101.45,0.00,0.69,13.17,12.48,-0.00680138
43,45,103.70,0.41,0.13,12.51,12.79,0.00270010
43,44,109.20,0.00,1.24,12.51,11.27,-0.01135531
43,46,35.91,0.00,0.93,12.51,11.58,-0.02589808
44,47,55.70,0.00,0.55,11.27,10.72,-0.00987433
44,52,69.35,0.44,0.00,11.27,11.71,0.00634463
46,47,45.23,0.00,0.86,11.58,10.72,-0.01901393
47,48,44.19,0.00,0.13,10.72,10.59,-0.00294184
48,107,42.75,0.00,0.63,10.59,9.96,-0.01473684
48,49,124.49,0.81,0.00,10.59,11.40,0.00650655
49,50,54.13,0.64,0.00,11.40,12.04,0.01182339
49,52,42.86,0.31,0.00,11.40,11.71,0.00723285
49,101,42.09,0.00,0.24,11.40,11.16,-0.00570207
50,100,96.55,0.29,0.26,12.04,12.07,0.00031072
50,51,52.09,0.05,0.00,11.68,11.73,0.00095988
51,52,33.48,0.00,0.09,11.88,11.79,-0.00268817
55,205,7.95,0.00,0.03,11.73,11.70,-0.00377358
55,207,123.87,0.00,0.21,11.73,11.52,-0.00169533
55,252,5.84,0.00,0.28,11.80,11.52,-0.04794521
