node1,node2,Elevation1,Elevation2,Elevation3,Elevation4,Elevation5,Elevation6
1,254,11.82,11.63,,,,
2,4,12.29,11.89,,,,
2,253,11.80,11.77,,,,
2,3,12.29,11.96,,,,
3,5,11.96,11.61,,,,
3,9,11.96,11.57,,,,
4,182,11.89,11.78,,,,
4,5,11.89,11.61,,,,
5,8,11.61,10.82,,,,
6,182,11.76,11.78,,,,
6,7,11.76,10.56,,,,
7,183,10.56,10.54,,,,
7,184,10.56,10.43,,,,
8,9,10.82,11.57,,,,
8,186,10.82,10.79,,,,
8,183,10.82,10.54,,,,
9,187,11.57,11.58,,,,
9,10,11.57,11.59,,,,
10,56,11.59,11.57,,,,
10,188,11.59,11.58,,,,
11,188,12.32,11.58,,,,
11,12,12.32,12.33,,,,
12,252,11.72,11.57,,,,
12,55,12.33,11.73,,,,
12,13,12.33,12.53,,,,
13,14,12.53,12.64,12.28,,,
13,19,12.53,13,,,,
13,16,12.53,12.21,,,,
14,187,12.28,11.58,,,,
14,15,12.28,10.89,,,,
15,186,10.89,10.79,,,,
15,16,10.89,12.21,,,,
16,189,12.21,12.04,,,,
16,191,12.21,12.1,,,,
17,190,11.81,11.99,,,,
17,189,11.81,12.04,,,,
17,184,11.81,10.43,,,,
18,190,12.59,11.99,,,,
18,192,12.59,12.59,,,,
18,22,12.59,13.8,,,,
18,23,12.59,13.09,13.5,,,
19,20,13,12.93,,,,
19,192,13,12.59,,,,
20,21,12.93,12.62,,,,
20,194,12.93,13.67,,,,
21,26,12.62,12.68,,,,
21,252,11.60,11.74,,,,
22,24,13.8,14.03,,,,
22,194,13.8,13.67,,,,
22,25,13.8,13.26,,,,
23,24,13.5,14.03,,,,
24,57,14.03,13.97,,,,
25,196,13.26,13.2,,,,
25,195,13.26,13.15,,,,
25,60,13.26,13.46,,,,
26,195,12.68,12.81,12.95,13.15,,
26,198,12.68,12.64,,,,
26,199,12.68,12.72,,,,
27,29,12.78,13,,,,
27,28,12.78,12.87,12.95,,,
27,199,12.78,12.76,12.72,,,
28,31,12.95,12.53,,,,
29,31,13,12.53,,,,
29,30,13,13.13,,,,
30,38,13.13,12.78,,,,
30,39,13.13,13.56,,,,
30,37,13.13,13.13,,,,
31,36,12.53,12.65,12.59,,,
31,37,12.53,12.33,13.23,13.13,,
31,32,12.53,13.16,,,,
32,33,13.16,13.16,,,,
32,35,13.16,11.52,,,,
32,197,13.16,13.06,,,,
32,196,13.16,13.2,,,,
33,105,13.16,13.06,,,,
33,34,13.16,11.18,,,,
34,35,11.18,11.52,,,,
34,106,11.18,11.03,,,,
34,48,11.18,10.59,,,,
35,47,11.52,10.72,,,,
35,36,11.52,12.59,,,,
36,37,12.59,13.13,,,,
36,46,12.59,11.58,,,,
37,43,13.13,12.51,,,,
38,199,12.78,12.72,,,,
38,40,12.78,13.05,,,,
39,41,13.56,13.19,13.52,13.40,,
39,40,13.56,13.05,,,,
40,42,13.05,13.17,,,,
41,43,13.19,12.51,,,,
41,42,13.19,13.25,13.17,,,
42,45,13.17,12.79,,,,
42,54,13.17,12.48,,,,
43,45,12.51,12.38,12.69,12.79,,
43,44,12.51,12.11,11.27,,,
43,46,12.51,11.58,,,,
44,47,11.27,10.72,,,,
44,52,11.27,11.71,,,,
46,47,11.58,10.72,,,,
47,48,10.72,10.59,,,,
48,107,10.59,9.96,,,,
48,49,10.59,11.4,,,,
