node1,node2,distance,time_minutes,gradient,max_gradient,min_gradient,sidewalk,signal,road_width,illumination,nature,park,garbage,toilet,crosswalk
1,254,27.39,0.555397476,-0.00693684,0.000225064,0.000225064,0,0,1,1,0,0,0,0,0
2,253,44.43,0.57657881,-0.00067522,-0.007154452,-0.007154452,0,0,1,1,0,0,0,0,0
2,3,46.13,0.57657881,-0.0071537,0.007154452,0.007154452,0,0,1,1,0,0,0,0,0
2,4,124.01,1.55009178,-0.00322555,-0.003225632,-0.003225632,0,0,1,1,0,0,0,0,0
3,5,115.62,1.445284787,-0.00302716,-0.003027099,-0.003027099,0,0,1,1,0,0,1,0,0
3,9,45.32,0.566580517,-0.00860547,-0.008604568,-0.008604568,0,0,1,1,1,0,0,0,0
3,2,46.13,0.57657881,0.0071537,0.007154452,0.007154452,0,0,1,1,0,0,0,0,0
4,5,53.48,0.66844319,-0.0052356,-0.005236119,-0.005236119,0,0,1,1,1,0,0,0,0
4,182,46.86,0.585738247,-0.00234742,-0.002347471,-0.002347471,0,0,1,1,0,0,0,0,0
4,2,124.01,1.55009178,0.00322555,0.003225632,0.003225632,0,0,1,1,0,0,0,0,0
5,8,46.99,0.587504567,-0.01681209,-0.016810755,-0.016810755,0,0,1,0,0,0,0,0,0
5,3,115.62,1.445284787,0.00302716,0.003027099,0.003027099,0,0,1,1,0,0,1,0,0
5,4,53.48,0.66844319,0.0052356,0.005236119,0.005236119,0,0,1,1,1,0,0,0,0
6,7,83.26,1.040870738,-0.01441268,-0.014412508,-0.014412508,0,0,2,1,0,0,0,0,0
6,182,7.2,0.089971199,0.00277778,0.002778678,0.002778678,0,0,0,0,0,0,0,0,-1
7,183,7.64,0.09546671,-0.0026178,-0.002618723,-0.002618723,0,0,0,0,0,0,0,0,1
7,184,7.3,0.091351829,-0.01780822,-0.017791184,-0.017791184,0,0,0,0,0,0,0,0,1
7,6,83.26,1.040870738,0.01441268,0.014412508,0.014412508,0,0,2,1,0,0,0,0,0
8,9,112.03,1.400396052,0.00669464,0.006694685,0.006694685,0,0,2,1,0,0,1,0,0
8,183,45.39,0.56745657,-0.00616876,-0.00616799,-0.00616799,0,0,2,1,0,0,0,0,0
8,186,9.45,0.11818923,-0.0031746,-0.003172894,-0.003172894,0,0,0,0,0,0,0,0,-1
8,5,46.99,0.587504567,0.01681209,0.016810755,0.016810755,0,0,1,0,0,0,0,0,0
9,257,48.74,0.647362978,0,0,0,0,0,2,1,0,0,0,0,0
9,187,9,0.112398947,0.00111111,0.001112111,0.001112111,0,0,0,0,0,0,0,0,1
9,3,45.32,0.566580517,0.00860547,0.008604568,0.008604568,0,0,1,1,1,0,0,0,0
9,8,112.03,1.400396052,-0.00669464,-0.006694685,-0.006694685,0,0,2,1,0,0,1,0,0
10,56,24.55,0.306827366,-0.00081466,-0.000814791,-0.000814791,0,0,2,1,0,0,0,0,0
10,188,9.29,0.116107099,-0.00107643,-0.001076593,-0.001076593,0,0,0,0,0,0,0,0,-1
10,257,9.29,0.647362978,0,0,0,0,0,2,1,0,0,0,0,0
11,12,62.43,0.780463404,0.00016018,0.000160161,0.000160161,0,0,1,1,0,0,0,0,0
11,188,64.47,0.805883879,-0.01147821,-0.011478837,-0.011478837,0,0,1,1,0,0,0,0,0
12,13,32.32,0.404003678,0.00618812,0.006188181,0.006188181,1,0,2,1,0,0,0,0,0
12,55,25.46,0.331776347,-0.02356638,-0.022611368,-0.022611368,1,0,2,1,0,0,0,0,0
12,11,62.43,0.780463404,-0.00016018,-0.000160161,-0.000160161,0,0,1,1,0,0,0,0,0
12,252,26.09,1.028358366,-0.00574933,-0.011183571,-0.011183571,0,0,2,1,0,0,0,0,0
13,14,84.35,1.054460509,-0.00296384,0.00691807,-0.005258861,0,0,1,1,0,0,0,0,0
13,16,113.09,1.413616916,-0.0028296,-0.002829632,-0.002829632,1,0,2,1,0,0,0,0,0
13,19,46.13,0.576717599,0.0101886,0.01018749,0.01018749,0,0,1,1,1,0,0,0,0
13,12,32.32,0.404003678,-0.00618812,-0.006188181,-0.006188181,1,0,2,1,0,0,0,0,0
14,15,102.56,1.282130202,-0.01355304,-0.01355291,-0.01355291,0,0,1,1,1,0,0,0,0
14,187,59.92,0.749130155,-0.01168224,-0.01168101,-0.01168101,0,0,1,1,0,0,1,0,0
14,13,84.35,1.054460509,0.00296384,0.005258861,-0.00691807,0,0,1,1,0,0,0,0,0
15,16,69.18,0.864928336,0.01908066,0.019080197,0.019080197,0,0,1,1,1,0,0,0,0
15,186,60.33,0.75416474,-0.00165755,-0.001657465,-0.001657465,0,0,1,1,1,0,0,0,0
15,14,102.56,1.282130202,0.01355304,0.01355291,0.01355291,0,0,1,1,1,0,0,0,0
16,189,43.92,0.548999033,-0.00387067,-0.00387071,-0.00387071,1,0,2,1,1,0,0,0,0
16,191,43.32,0.54147105,-0.00253924,-0.002539387,-0.002539387,1,0,2,1,1,0,0,0,0
16,13,113.09,1.413616916,0.0028296,0.002829632,0.002829632,1,0,2,1,0,0,0,0,0
16,15,69.18,0.864928336,-0.01908066,-0.019080197,-0.019080197,0,0,1,1,1,0,0,0,0
17,184,129.62,1.620342017,-0.01064651,-0.010646504,-0.010646504,0,0,2,1,0,0,0,0,0
17,189,8.54,0.106781001,0.02693208,0.02693403,0.02693403,0,1,0,0,0,0,0,0,1
17,190,6.86,0.085719759,0.02623907,0.026257371,0.026257371,0,1,0,0,0,0,0,0,1
18,22,132.12,1.651617979,0.00915834,0.009158071,0.009158071,0,0,2,1,0,1,0,0,0
18,23,79.78,0.997258602,0.01140637,0.01745286,0.008019206,1,0,2,0,1,0,0,0,0
18,190,42.55,0.531912989,-0.01410106,-0.014101452,-0.014101452,0,0,2,1,0,0,0,0,0
18,192,7.2,0.089971012,0,0,0,0,0,0,0,0,0,0,0,-1
19,20,96.17,1.202071546,-0.00072788,-0.00072791,-0.00072791,0,0,1,1,1,1,1,0,0
19,192,149.6,1.869960428,-0.00274064,-0.00274071,-0.00274071,0,0,1,1,1,1,1,0,0
19,13,46.13,0.576717599,-0.0101886,-0.01018749,-0.01018749,0,0,1,1,1,0,0,0,0
20,21,62.59,0.782446641,-0.00495287,-0.004952475,-0.004952475,0,0,1,1,0,0,1,0,0
20,194,138.17,1.727178626,0.00535572,0.005355632,0.005355632,0,0,1,1,1,1,1,1,0
20,19,96.17,1.202071546,0.00072788,0.00072791,0.00072791,0,0,1,1,1,1,1,0,0
21,26,62.09,0.776089971,0.00096634,0.000966383,0.000966383,1,0,3,1,0,0,0,0,0
21,20,62.59,0.782446641,0.00495287,0.004952475,0.004952475,0,0,1,1,0,0,1,0,0
21,252,127.4,1.028358366,0.0010989,-0.011183571,-0.011183571,1,0,3,1,0,0,0,0,0
22,24,51.16,0.639524455,0.0044957,0.004495573,0.004495573,0,0,1,1,0,0,1,0,0
22,25,50.3,0.628819568,-0.01073559,-0.010735017,-0.010735017,0,0,2,1,0,0,0,0,0
22,194,8.72,0.108962275,-0.01490826,-0.014915077,-0.014915077,0,0,0,0,0,0,0,0,-1
22,18,132.12,1.651617979,-0.00915834,-0.009158071,-0.009158071,0,0,2,1,0,1,0,0,0
23,24,110.39,1.379891566,0.00480116,0.004801157,0.004801157,0,0,1,0,1,0,0,0,0
23,18,79.78,0.997258602,-0.01140637,-0.008019206,-0.01745286,1,0,2,0,1,0,0,0,0
24,57,31.11,0.388917808,-0.00192864,-0.001928432,-0.001928432,0,0,1,1,0,0,0,0,0
24,22,51.16,0.639524455,-0.0044957,-0.004495573,-0.004495573,0,0,1,1,0,0,1,0,0
24,23,110.39,1.379891566,-0.00480116,-0.004801157,-0.004801157,0,0,1,0,1,0,0,0,0
25,60,81.47,1.018288162,0.00245489,0.002455108,0.002455108,1,0,2,1,0,0,0,0,0
25,195,8.1,0.101244936,-0.01358025,-0.013582179,-0.013582179,0,1,0,0,0,0,0,0,1
25,196,7.94,0.099276789,-0.00755668,-0.007554852,-0.007554852,0,1,0,0,0,0,0,0,1
25,22,50.3,0.628819568,0.01073559,0.010735017,0.010735017,0,0,2,1,0,0,0,0,0
26,195,192.77,2.409651003,0.00243814,0.003186234,0.001546383,1,0,2,1,0,0,0,0,0
26,198,9.64,0.120439906,-0.00414938,-0.004151484,-0.004151484,0,1,0,0,0,0,0,0,1
26,199,9.76,0.122073959,0.00409836,0.004095912,0.004095912,0,1,0,0,0,0,0,0,1
26,21,62.09,0.776089971,-0.00096634,-0.000966383,-0.000966383,1,0,3,1,0,0,0,0,0
27,28,79.26,0.990715856,0.00214484,0.00675458,0.001213356,0,0,1,1,0,0,1,0,0
27,29,34.43,0.430431705,0.00638978,0.006389065,0.006389065,0,0,1,1,0,0,0,0,0
27,199,82.04,1.025503649,-0.00073135,-0.000468545,-0.00101639,0,0,1,1,0,0,1,0,0
28,31,26.19,0.327443249,-0.01603666,-0.016035374,-0.016035374,0,0,0,0,0,0,0,0,0
28,27,79.26,0.990715856,-0.00214484,-0.001213356,-0.00675458,0,0,1,1,0,0,1,0,0
29,30,56.92,0.711428455,0.00228391,0.002284143,0.002284143,0,0,1,1,0,0,0,0,0
29,31,80.09,1.001133022,-0.0058684,-0.005868452,-0.005868452,0,0,1,1,0,0,0,0,0
29,27,34.43,0.430431705,-0.00638978,-0.006389065,-0.006389065,0,0,1,1,0,0,0,0,0
30,37,59.78,0.747296683,0,0,0,0,0,1,1,1,0,0,0,0
30,38,37.12,0.46395405,-0.00942888,-0.009430232,-0.009430232,0,0,1,0,0,0,0,0,0
30,39,121.33,1.516684497,0.00354405,0.003543937,0.003543937,0,0,1,1,1,0,0,0,0
30,29,56.92,0.711428455,-0.00228391,-0.002284143,-0.002284143,0,0,1,1,0,0,0,0,0
31,32,68.28,0.853483421,0.00922671,0.009227286,0.009227286,0,0,1,0,0,0,0,0,0
31,36,104.45,1.30570048,0.00057444,0.005787644,-0.000716656,0,0,1,1,0,0,0,0,0
31,37,108.53,1.356640638,0.00552843,0.013269804,-0.008488062,0,0,0,1,0,0,0,0,0
31,28,26.19,0.327443249,0.01603666,0.016035374,0.016035374,0,0,0,0,0,0,0,0,0
31,29,80.09,1.001133022,0.0058684,0.005868452,0.005868452,0,0,1,1,0,0,0,0,0
32,33,42.96,0.537041094,0,0,0,0,0,0,0,0,0,0,0,0
32,35,98,1.225224949,-0.01673469,-0.016733964,-0.016733964,0,0,1,1,0,0,0,0,0
32,196,46.58,0.582151648,0.00085874,0.000858883,0.000858883,0,0,2,1,0,0,0,0,0
32,197,46.26,0.578266964,-0.00216169,-0.002161636,-0.002161636,0,0,2,1,0,0,0,0,0
32,31,68.28,0.853483421,-0.00922671,-0.009227286,-0.009227286,0,0,1,0,0,0,0,0,0
33,34,101.14,1.264447567,-0.01957682,-0.019577516,-0.019577516,0,0,1,1,0,0,0,0,0
33,105,42.68,0.533526903,-0.00234302,-0.002342906,-0.002342906,0,0,1,0,0,0,0,0,0
33,32,42.96,0.537041094,0,0,0,0,0,0,0,0,0,0,0,0
34,35,44.7,0.55878426,0.00760626,0.007606018,0.007606018,0,0,1,0,0,0,0,0,0
34,48,125.68,1.571045998,-0.00469446,-0.004694376,-0.004694376,0,0,1,0,0,0,1,0,0
34,106,42.16,0.52699531,-0.00355787,-0.003557929,-0.003557929,0,0,1,1,1,0,0,0,0
34,33,101.14,1.264447567,0.01957682,0.019577516,0.019577516,0,0,1,1,0,0,0,0,0
35,36,47.16,0.5896126,0.02268872,0.022690225,0.022690225,0,0,1,1,0,0,0,0,0
35,47,126.57,1.582173831,-0.00632061,-0.006320544,-0.006320544,0,0,1,1,0,0,0,0,0
35,32,98,1.225224949,0.01673469,0.016733964,0.016733964,0,0,1,1,0,0,0,0,0
35,34,44.7,0.55878426,-0.00760626,-0.007606018,-0.007606018,0,0,1,0,0,0,0,0,0
36,37,36.16,0.452072717,0.01493363,0.014932891,0.014932891,0,0,1,0,1,0,0,0,0
36,46,124.58,1.557317136,-0.00810724,-0.008107157,-0.008107157,0,0,1,1,0,0,0,0,0
36,31,104.45,1.30570048,-0.00057444,0.000716656,-0.005787644,0,0,1,1,0,0,0,0,0
36,35,47.16,0.5896126,-0.02268872,-0.022690225,-0.022690225,0,0,1,1,0,0,0,0,0
37,43,125.03,1.562946141,-0.00495881,-0.004958645,-0.004958645,0,0,1,1,0,0,0,0,0
37,30,59.78,0.747296683,0,0,0,0,0,1,1,1,0,0,0,0
37,31,108.53,1.356640638,-0.00552843,0.008488062,-0.013269804,0,0,0,1,0,0,0,0,0
37,36,36.16,0.452072717,-0.01493363,-0.014932891,-0.014932891,0,0,1,0,1,0,0,0,0
38,40,118.77,1.484632867,0.0022733,0.002273295,0.002273295,1,0,2,1,1,0,0,0,0
38,199,137.03,1.712943932,-0.00043786,-0.000437843,-0.000437843,1,0,3,1,0,0,0,0,0
38,30,37.12,0.46395405,0.00942888,0.009430232,0.009430232,0,0,1,0,0,0,0,0,0
39,40,35.84,0.448065646,-0.01422991,-0.014229266,-0.014229266,0,0,1,1,1,0,0,0,0
39,41,21.64,0.270472239,-0.00739372,-0.017102222,-0.017102222,0,0,1,1,1,0,0,0,0
39,30,121.33,1.516684497,-0.00354405,-0.003543937,-0.003543937,0,0,1,1,1,0,0,0,0
40,42,59.42,0.742690278,0.00201952,0.002019689,0.002019689,1,0,2,1,1,0,0,0,0
40,38,118.77,1.484632867,-0.0022733,-0.002273295,-0.002273295,1,0,2,1,1,0,0,0,0
40,39,35.84,0.448065646,0.01422991,0.014229266,0.014229266,0,0,1,1,1,0,0,0,0
41,42,70.8,0.885004909,-0.00028249,0.002679242,-0.001652688,0,0,1,1,0,0,0,0,0
41,43,30.28,0.378633245,-0.02245707,-0.022454823,-0.022454823,0,0,1,0,0,0,0,0,0
41,39,21.64,0.270472239,0.00739372,0.017102222,0.017102222,0,0,1,1,1,0,0,0,0
42,45,43.69,0.546075733,-0.00869764,-0.008698756,-0.008698756,0,0,1,0,0,0,0,0,0
42,54,101.45,1.268157359,-0.00680138,-0.006801364,-0.006801364,1,0,2,1,0,0,0,0,0
42,40,59.42,0.742690278,-0.00201952,-0.002019689,-0.002019689,1,0,2,1,1,0,0,0,0
42,41,70.8,0.885004909,0.00028249,0.001652688,-0.002679242,0,0,1,1,0,0,0,0,0
43,44,109.2,1.365096794,-0.01135531,-0.0061085,-0.019213756,0,0,1,1,1,1,1,0,0
43,45,103.7,1.296315061,0.0027001,0.00514493,-0.005730519,0,0,1,1,0,0,0,0,0
43,46,35.91,0.449023287,-0.02589808,-0.025898207,-0.025898207,0,0,1,0,1,1,0,1,0
43,37,125.03,1.562946141,0.00495881,0.004958645,0.004958645,0,0,1,1,0,0,0,0,0
43,41,30.28,0.378633245,0.02245707,0.022454823,0.022454823,0,0,1,0,0,0,0,0,0
44,47,55.7,0.696224744,-0.00987433,-0.009875166,-0.009875166,0,0,1,0,1,1,1,0,0
44,52,69.35,0.86702532,0.00634463,0.006343656,0.006343656,0,0,1,1,0,0,0,0,0
44,43,109.2,1.365096794,0.01135531,0.019213756,0.0061085,0,0,1,1,1,1,1,0,0
45,42,43.69,0.546075733,0.00869764,0.008698756,0.008698756,0,0,1,0,0,0,0,0,0
45,43,103.7,1.296315061,-0.0027001,0.005730519,-0.00514493,0,0,1,1,0,0,0,0,0
46,47,45.23,0.56549511,-0.01901393,-0.019013326,-0.019013326,0,0,1,1,1,1,0,1,0
46,36,124.58,1.557317136,0.00810724,0.008107157,0.008107157,0,0,1,1,0,0,0,0,0
46,43,35.91,0.449023287,0.02589808,0.025898207,0.025898207,0,0,1,0,1,1,0,1,0
47,48,44.19,0.552320611,-0.00294184,-0.002942144,-0.002942144,0,0,1,0,0,0,0,0,0
47,35,126.57,1.582173831,0.00632061,0.006320544,0.006320544,0,0,1,1,0,0,0,0,0
47,44,55.7,0.696224744,0.00987433,0.009875166,0.009875166,0,0,1,0,1,1,1,0,0
47,46,45.23,0.56549511,0.01901393,0.019013326,0.019013326,0,0,1,1,1,1,0,1,0
48,49,124.49,1.556168329,0.00650655,0.006506503,0.006506503,0,0,1,1,0,0,0,0,0
48,107,42.75,0.534383895,-0.01473684,-0.014738197,-0.014738197,0,0,1,0,0,0,0,0,0
48,34,125.68,1.571045998,0.00469446,0.004694376,0.004694376,0,0,1,0,0,0,1,0,0
48,47,44.19,0.552320611,0.00294184,0.002942144,0.002942144,0,0,1,0,0,0,0,0,0
49,50,54.13,0.676744472,0.01182339,0.016155298,0.000660558,0,0,1,0,0,0,0,0,0
49,52,42.86,0.53570352,0.00723285,0.007233668,0.007233668,0,0,1,1,0,0,1,0,0
49,101,42.09,0.526114228,-0.00570207,-0.005702276,-0.005702276,0,0,1,1,0,0,0,0,0
49,48,124.49,1.556168329,-0.00650655,-0.006506503,-0.006506503,0,0,1,1,0,0,0,0,0
50,100,96.55,1.206799966,0.00031072,0.006864839,-0.021287285,0,0,1,0,1,0,0,0,0
50,49,54.13,0.676744472,-0.01182339,-0.000660558,-0.016155298,0,0,1,0,0,0,0,0,0
50,51,52.09,1.028358366,0.00095988,-0.011183571,-0.011183571,0,0,1,1,0,0,0,0,0
51,52,33.48,1.028358366,-0.00268817,-0.011183571,-0.011183571,0,0,1,1,0,0,0,0,0
51,50,52.09,1.028358366,-0.00095988,-0.011183571,-0.011183571,0,0,1,1,0,0,0,0,0
52,44,69.35,0.86702532,-0.00634463,-0.006343656,-0.006343656,0,0,1,1,0,0,0,0,0
52,49,42.86,0.53570352,-0.00723285,-0.007233668,-0.007233668,0,0,1,1,0,0,1,0,0
52,51,33.48,1.028358366,0.00268817,-0.011183571,-0.011183571,0,0,1,1,0,0,0,0,0
54,42,101.45,1.268157359,0.00680138,0.006801364,0.006801364,1,0,2,1,0,0,0,0,0
55,205,7.95,0.100996413,-0.00377358,-0.003713029,-0.003713029,0,1,0,0,0,0,0,0,1
55,207,123.87,1.590877508,-0.00169533,-0.001650035,-0.001650035,1,0,3,1,0,0,0,0,0
55,12,25.46,0.331776347,0.02356638,0.022611368,0.022611368,1,0,2,1,0,0,0,0,0
55,252,5.84,1.028358366,-0.04794521,-0.011183571,-0.011183571,1,1,0,0,0,0,0,0,1
56,206,9.15,0.114340162,0.00218579,0.002186464,0.002186464,0,1,0,0,0,0,0,0,1
56,207,8.92,0.111466987,-0.00560538,-0.005607129,-0.005607129,0,1,0,0,0,0,0,0,1
56,10,24.55,0.306827366,0.00081466,0.000814791,0.000814791,0,0,2,1,0,0,0,0,0
56,256,39.91,1.028358366,0.00325733,-0.011183571,-0.011183571,1,0,3,1,0,0,0,0,0
57,58,87.66,1.09578373,-0.00285193,-0.002851852,-0.002851852,0,0,1,0,0,0,1,0,0
57,59,51.76,0.646967328,-0.0015456,-0.001545675,-0.001545675,0,0,1,1,0,0,1,0,0
57,60,48.33,0.604121512,-0.01055245,-0.0105531,-0.0105531,0,0,1,1,0,0,0,0,0
57,24,31.11,0.388917808,0.00192864,0.001928432,0.001928432,0,0,1,1,0,0,0,0,0
58,61,52.91,0.661312498,0.003402,0.003402345,0.003402345,0,0,1,0,1,0,0,0,0
58,63,91.14,1.13929325,-0.00647356,-0.006473447,-0.006473447,0,0,1,1,1,0,0,0,0
58,66,47.28,0.590979262,-0.00486464,-0.004864864,-0.004864864,0,0,1,0,0,0,0,0,0
58,210,45.63,0.570366866,-0.00438308,-0.004383186,-0.004383186,0,0,1,0,0,0,0,0,0
58,57,87.66,1.09578373,0.00285193,0.002851852,0.002851852,0,0,1,0,0,0,1,0,0
59,61,86.48,1.080947735,0.00011563,0.000115639,0.000115639,0,0,1,1,0,0,1,0,0
59,57,51.76,0.646967328,0.0015456,0.001545675,0.001545675,0,0,1,1,0,0,1,0,0
