node1,node2,distance,time_minutes,gradient,max_gradient,min_gradient,sidewalk,signal,road_width,illumination,nature,park,garbage,toilet,crosswalk
1,254,44.43179805,0.555397476,0.000225064,0.000225064,0.000225064,0,0,1,1,0,0,0,0,0
253,254,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,1,1,0,0,0,0,0
2,253,46.12630481,0.57657881,-0.007154452,-0.007154452,-0.007154452,0,0,1,1,0,0,0,0,0
2,3,46.12630481,0.57657881,0.007154452,0.007154452,0.007154452,0,0,1,1,0,0,0,0,0
3,9,45.32644136,0.566580517,-0.008604568,-0.008604568,-0.008604568,0,0,1,1,1,0,0,0,0
9,187,8.991915757,0.112398947,0.001112111,0.001112111,0.001112111,0,0,0,0,0,0,0,0,1
14,187,59.93041238,0.749130155,-0.01168101,-0.01168101,-0.01168101,0,0,1,1,0,0,1,0,0
13,14,84.35760631,1.054460509,-0.003532758,0.00691807,-0.005258861,0,0,1,1,0,0,0,0,0
13,19,46.13740795,0.576717599,0.01018749,0.01018749,0.01018749,0,0,1,1,1,0,0,0,0
19,20,96.16572366,1.202071546,-0.00072791,-0.00072791,-0.00072791,0,0,1,1,1,1,1,1,0
20,194,138.1742901,1.727178626,0.005355632,0.005355632,0.005355632,0,0,1,1,1,1,1,1,0
194,195,48.86976526,0.610872066,-0.010641128,-0.010641128,-0.010641128,0,0,2,1,0,0,0,0,0
25,195,8.099594896,0.101244936,-0.013582179,-0.013582179,-0.013582179,0,1,0,0,0,0,0,0,1
25,196,7.942143088,0.099276789,-0.007554852,-0.007554852,-0.007554852,0,1,0,0,0,0,0,0,1
196,209,82.49001542,1.031125193,0.003151912,0.003151912,0.003151912,1,0,2,1,0,0,0,0,0
209,212,84.07155656,1.050894457,0.000475785,0.000475785,0.000475785,1,0,2,1,0,0,1,0,0
67,212,40.5545164,0.506931455,0.00863068,0.00863068,0.00863068,0,0,2,1,0,0,1,0,0
67,97,41.08324612,0.513540577,-0.007059014,-0.007059014,-0.007059014,0,0,1,1,0,0,0,0,0
96,97,100.6087767,1.257609709,0.009244121,0.009244121,0.009244121,0,0,1,1,0,0,1,0,0
90,96,44.84619459,0.560577432,0.005574696,0.005574696,0.005574696,0,0,2,1,0,0,0,0,0
87,90,41.48469344,0.518558668,0.005544299,0.005544299,0.005544299,1,0,2,1,0,0,0,0,0
87,222,5.214843395,0.065185542,-0.017260999,-0.017260999,-0.017260999,0,0,0,0,0,0,0,0,-1
221,222,46.07909394,0.575988674,0.002604227,0.002604227,0.002604227,1,0,2,1,0,0,1,0,0
75,221,56.14982951,0.701872869,0.017099613,0.017099613,0.017099613,0,0,2,1,1,1,1,0,0
75,76,37.37260789,0.467157599,-0.00428125,-0.00428125,-0.00428125,0,0,2,1,1,1,0,0,0
76,82,102.944431,1.286805388,-0.005731342,-0.005731342,-0.005731342,0,0,2,1,0,0,1,0,0
82,243,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,2,1,0,0,0,0,0
243,244,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,2,1,0,0,0,0,0
244,245,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,2,1,0,0,0,0,0
245,246,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,2,1,0,0,0,0,0
